"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,6,LA,Total Electric Power Industry,Other Gases (Billion Btu),673
2021,6,LA,Total Electric Power Industry,Petroleum (Barrels),"337,144"
2021,6,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"10,441,983"
2021,6,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),673
2021,6,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"73,533"
2021,6,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,503,880"
2021,6,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"139,489"
2021,6,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,140,146"
2021,6,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,6,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"297,090"
2021,6,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"30,327,729"
2021,6,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"337,144"
2021,6,MA,Total Electric Power Industry,Coal (Short Tons),0
2021,6,MA,Total Electric Power Industry,Natural Gas (Mcf),"12,370,049"
2021,6,MA,Total Electric Power Industry,Petroleum (Barrels),"15,016"
2021,6,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"72,968"
2021,6,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),8
2021,6,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"249,195"
2021,6,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),442
2021,6,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"578,127"
2021,6,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),10
2021,6,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"11,109,807"
2021,6,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"12,646"
2021,6,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"359,952"
2021,6,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,910"
2021,6,MD,Total Electric Power Industry,Coal (Short Tons),"278,040"
2021,6,MD,Total Electric Power Industry,Natural Gas (Mcf),"8,037,896"
2021,6,MD,Total Electric Power Industry,Petroleum (Barrels),"21,741"
2021,6,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"19,462"
2021,6,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,6,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"545,872"
2021,6,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),26
2021,6,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"42,293"
2021,6,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"518,266"
2021,6,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),185
2021,6,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"235,747"
2021,6,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,908,664"
2021,6,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,677"
2021,6,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,045,632"
2021,6,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,853"
2021,6,ME,Total Electric Power Industry,Coal (Short Tons),958
2021,6,ME,Total Electric Power Industry,Natural Gas (Mcf),"1,541,298"
2021,6,ME,Total Electric Power Industry,Petroleum (Barrels),"14,284"
2021,6,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),212
2021,6,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"222,483"
2021,6,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),525
2021,6,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"13,168"
2021,6,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),510
2021,6,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),746
2021,6,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),116
2021,6,ME,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,6,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,305,647"
2021,6,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"13,133"
2021,6,MI,Total Electric Power Industry,Coal (Short Tons),"1,752,100"
2021,6,MI,Total Electric Power Industry,Natural Gas (Mcf),"22,866,249"
2021,6,MI,Total Electric Power Industry,Other Gases (Billion Btu),535
2021,6,MI,Total Electric Power Industry,Petroleum (Barrels),"263,667"
2021,6,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"270,134"
2021,6,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"29,409"
2021,6,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,6,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"216,806"
2021,6,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),23
2021,6,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"11,985"
2021,6,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,649,346"
2021,6,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),535
2021,6,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,6,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,482,177"
2021,6,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,6,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,740,115"
2021,6,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,247,786"
2021,6,MI,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2021,6,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"234,235"
2021,6,MN,Total Electric Power Industry,Coal (Short Tons),"874,290"
2021,6,MN,Total Electric Power Industry,Natural Gas (Mcf),"8,475,146"
2021,6,MN,Total Electric Power Industry,Petroleum (Barrels),"7,298"
2021,6,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,565"
2021,6,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"47,061"
2021,6,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),437
2021,6,MN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),578
2021,6,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"47,506"
2021,6,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),309
2021,6,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"445,674"
2021,6,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),56
2021,6,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,517,039"
2021,6,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),6
2021,6,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"870,147"
2021,6,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,417,866"
2021,6,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,490"
2021,6,MO,Total Electric Power Industry,Coal (Short Tons),"3,091,351"
2021,6,MO,Total Electric Power Industry,Natural Gas (Mcf),"7,459,889"
2021,6,MO,Total Electric Power Industry,Petroleum (Barrels),"16,647"
2021,6,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"10,461"
2021,6,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,6,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"62,847"
2021,6,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),6
2021,6,MO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,6,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"12,314"
2021,6,MO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,6,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,037,860"
2021,6,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,091,351"
2021,6,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,336,407"
2021,6,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"16,641"
2021,6,MS,Total Electric Power Industry,Coal (Short Tons),"335,010"
2021,6,MS,Total Electric Power Industry,Natural Gas (Mcf),"34,511,408"
2021,6,MS,Total Electric Power Industry,Petroleum (Barrels),219
2021,6,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"246,487"
2021,6,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),25
2021,6,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,6,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"199,598"
2021,6,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"13,982"
2021,6,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"135,412"
2021,6,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"34,250,939"
2021,6,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),194
2021,6,MT,Total Electric Power Industry,Coal (Short Tons),"388,243"
2021,6,MT,Total Electric Power Industry,Natural Gas (Mcf),"454,589"
2021,6,MT,Total Electric Power Industry,Other Gases (Billion Btu),12
2021,6,MT,Total Electric Power Industry,Petroleum (Barrels),"75,518"
2021,6,MT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),287
2021,6,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,032"
2021,6,MT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,6,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),12
2021,6,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"72,693"
2021,6,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"387,956"
2021,6,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"65,817"
2021,6,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,802"
2021,6,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,6,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"387,740"
2021,6,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),23
2021,6,NC,Total Electric Power Industry,Coal (Short Tons),"978,686"
2021,6,NC,Total Electric Power Industry,Natural Gas (Mcf),"28,579,434"
2021,6,NC,Total Electric Power Industry,Petroleum (Barrels),"15,883"
2021,6,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,859"
2021,6,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"64,220"
2021,6,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),817
2021,6,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),490
2021,6,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"104,159"
2021,6,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),46
2021,6,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,6,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),32
2021,6,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,993,736"
2021,6,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),527
2021,6,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"976,337"
2021,6,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"23,417,319"
2021,6,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"14,461"
2021,6,ND,Total Electric Power Industry,Coal (Short Tons),"1,564,398"
2021,6,ND,Total Electric Power Industry,Natural Gas (Mcf),"1,293,567"
2021,6,ND,Total Electric Power Industry,Other Gases (Billion Btu),35
2021,6,ND,Total Electric Power Industry,Petroleum (Barrels),"4,631"
2021,6,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,709"
2021,6,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"10,998"
2021,6,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),35
2021,6,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,ND,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),14
2021,6,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,561,689"
2021,6,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,282,569"
2021,6,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,617"
2021,6,NE,Total Electric Power Industry,Coal (Short Tons),"1,325,720"
2021,6,NE,Total Electric Power Industry,Natural Gas (Mcf),"1,514,409"
2021,6,NE,Total Electric Power Industry,Petroleum (Barrels),"1,987"
2021,6,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"32,293"
2021,6,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2021,6,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,380"
2021,6,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,293,427"
2021,6,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,511,029"
2021,6,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,987"
2021,6,NH,Total Electric Power Industry,Coal (Short Tons),"11,940"
2021,6,NH,Total Electric Power Industry,Natural Gas (Mcf),"3,599,585"
2021,6,NH,Total Electric Power Industry,Petroleum (Barrels),"9,534"
2021,6,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"14,542"
2021,6,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,NH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,055"
2021,6,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),359
2021,6,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,435,439"
2021,6,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),187
2021,6,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"11,940"
2021,6,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"146,549"
2021,6,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,988"
2021,6,NJ,Total Electric Power Industry,Coal (Short Tons),"30,607"
2021,6,NJ,Total Electric Power Industry,Natural Gas (Mcf),"20,689,657"
2021,6,NJ,Total Electric Power Industry,Other Gases (Billion Btu),37
2021,6,NJ,Total Electric Power Industry,Petroleum (Barrels),"3,837"
2021,6,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"175,178"
2021,6,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),37
2021,6,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),8
2021,6,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"103,055"
2021,6,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),500
2021,6,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"30,607"
2021,6,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,082,817"
2021,6,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),934
2021,6,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,6,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"17,207,118"
2021,6,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,395"
2021,6,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,6,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"121,489"
2021,6,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,6,NM,Total Electric Power Industry,Coal (Short Tons),"719,663"
2021,6,NM,Total Electric Power Industry,Geothermal (Billion Btu),24
2021,6,NM,Total Electric Power Industry,Natural Gas (Mcf),"8,899,986"
2021,6,NM,Total Electric Power Industry,Petroleum (Barrels),"2,986"
2021,6,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"65,139"
2021,6,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"52,502"
2021,6,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,133"
2021,6,NM,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),24
2021,6,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,563,300"
2021,6,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"719,663"
2021,6,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,211,912"
2021,6,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,986"
2021,6,NV,Total Electric Power Industry,Coal (Short Tons),"162,499"
2021,6,NV,Total Electric Power Industry,Geothermal (Billion Btu),"3,042"
2021,6,NV,Total Electric Power Industry,Natural Gas (Mcf),"20,547,352"
2021,6,NV,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,6,NV,Total Electric Power Industry,Petroleum (Barrels),"2,924"
2021,6,NV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"373,271"
2021,6,NV,"Combined Heat and Power, Commercial Power",Geothermal (Billion Btu),354
2021,6,NV,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"23,325"
2021,6,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,295,183"
2021,6,NV,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,6,NV,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,6,NV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"70,613"
2021,6,NV,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"2,688"
2021,6,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,350"
2021,6,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),384
2021,6,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"91,886"
2021,6,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,853,223"
2021,6,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,540"
2021,6,NY,Total Electric Power Industry,Coal (Short Tons),0
2021,6,NY,Total Electric Power Industry,Natural Gas (Mcf),"45,531,448"
2021,6,NY,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,6,NY,Total Electric Power Industry,Petroleum (Barrels),"89,002"
2021,6,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"304,424"
2021,6,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,6,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),301
2021,6,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,6,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"493,769"
2021,6,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,677"
2021,6,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,435,037"
2021,6,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),12
2021,6,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,6,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"26,055,232"
2021,6,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"51,863"
2021,6,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,6,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,242,986"
2021,6,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"35,149"
2021,6,OH,Total Electric Power Industry,Coal (Short Tons),"1,679,525"
2021,6,OH,Total Electric Power Industry,Natural Gas (Mcf),"29,885,200"
2021,6,OH,Total Electric Power Industry,Other Gases (Billion Btu),246
2021,6,OH,Total Electric Power Industry,Petroleum (Barrels),"89,158"
2021,6,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"127,573"
2021,6,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),69
2021,6,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),14
2021,6,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,6,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"119,907"
2021,6,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),6
2021,6,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,6,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"63,055"
2021,6,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),177
2021,6,OH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"55,237"
2021,6,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,486,336"
2021,6,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"23,796,023"
2021,6,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"28,057"
2021,6,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"193,189"
2021,6,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,778,642"
2021,6,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,844"
2021,6,OK,Total Electric Power Industry,Coal (Short Tons),"573,787"
2021,6,OK,Total Electric Power Industry,Natural Gas (Mcf),"28,137,706"
2021,6,OK,Total Electric Power Industry,Petroleum (Barrels),"5,654"
2021,6,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,6,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"301,960"
2021,6,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),190
2021,6,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,6,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,6,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,699,845"
2021,6,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"573,787"
2021,6,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"20,135,901"
2021,6,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,464"
2021,6,OR,Total Electric Power Industry,Geothermal (Billion Btu),208
2021,6,OR,Total Electric Power Industry,Natural Gas (Mcf),"9,481,251"
2021,6,OR,Total Electric Power Industry,Petroleum (Barrels),31
2021,6,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"46,488"
2021,6,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"18,429"
2021,6,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,6,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,213,434"
2021,6,OR,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),208
2021,6,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,223,354"
2021,6,OR,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),0
2021,6,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,979,546"
2021,6,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),31
2021,6,PA,Total Electric Power Industry,Coal (Short Tons),"1,601,979"
2021,6,PA,Total Electric Power Industry,Natural Gas (Mcf),"76,405,191"
2021,6,PA,Total Electric Power Industry,Other Gases (Billion Btu),185
2021,6,PA,Total Electric Power Industry,Petroleum (Barrels),"22,991"
2021,6,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,843"
2021,6,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"705,669"
2021,6,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),185
2021,6,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,463"
2021,6,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,6,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"60,917"
2021,6,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),318
2021,6,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"170,661"
2021,6,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,025,779"
2021,6,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,6,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),709
2021,6,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,429,475"
2021,6,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"71,601,874"
2021,6,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2021,6,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,455"
2021,6,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,6,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,952"
2021,6,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),46
2021,6,RI,Total Electric Power Industry,Coal (Short Tons),0
2021,6,RI,Total Electric Power Industry,Natural Gas (Mcf),"5,403,414"
2021,6,RI,Total Electric Power Industry,Petroleum (Barrels),154
2021,6,RI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"115,464"
2021,6,RI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,6,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"30,952"
2021,6,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,6,RI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,6,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,256,998"
2021,6,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),154
2021,6,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,6,SC,Total Electric Power Industry,Coal (Short Tons),"619,741"
2021,6,SC,Total Electric Power Industry,Natural Gas (Mcf),"15,170,912"
2021,6,SC,Total Electric Power Industry,Petroleum (Barrels),"17,694"
2021,6,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),279
2021,6,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"87,999"
2021,6,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),467
2021,6,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,6,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),34
2021,6,SC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"2,758"
2021,6,SC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"143,152"
2021,6,SC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),18
2021,6,SC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"219,624"
